Time,Unix,Fridge,Television,Microwave
2014-03-07 10:33:18,1394188398.0,116.0,20.0,1.0
2014-03-07 10:33:32,1394188412.0,117.0,20.0,1.0
2014-03-07 10:33:47,1394188427.0,116.0,20.0,1.0
2014-03-07 10:34:18,1394188458.0,115.0,20.0,1.0
2014-03-07 10:34:33,1394188473.0,115.0,20.0,1.0
2014-03-07 10:34:47,1394188487.0,115.0,20.0,1.0
2014-03-07 10:35:01,1394188501.0,116.0,20.0,1.0
2014-03-07 10:35:15,1394188515.0,116.0,20.0,1.0
2014-03-07 10:35:19,1394188519.0,116.0,20.0,1.0
2014-03-07 10:35:30,1394188530.0,116.0,20.0,1.0
2014-03-07 10:35:33,1394188533.0,116.0,20.0,1.0
2014-03-07 10:35:44,1394188544.0,115.0,20.0,1.0
2014-03-07 10:35:47,1394188547.0,115.0,20.0,1.0
2014-03-07 10:35:58,1394188558.0,115.0,20.0,1.0
2014-03-07 10:36:01,1394188561.0,115.0,20.0,1.0
2014-03-07 10:36:12,1394188572.0,115.0,20.0,1.0
2014-03-07 10:36:16,1394188576.0,115.0,20.0,1.0
2014-03-07 10:36:19,1394188579.0,115.0,20.0,1.0
2014-03-07 10:36:27,1394188587.0,9.0,20.0,1.0
2014-03-07 10:36:30,1394188590.0,9.0,20.0,1.0
2014-03-07 10:36:33,1394188593.0,9.0,20.0,1.0
2014-03-07 10:36:44,1394188604.0,9.0,20.0,1.0
2014-03-07 10:36:47,1394188607.0,9.0,20.0,1.0
2014-03-07 10:36:59,1394188619.0,9.0,20.0,1.0
2014-03-07 10:37:02,1394188622.0,9.0,20.0,1.0
2014-03-07 10:37:13,1394188633.0,9.0,20.0,1.0
2014-03-07 10:37:16,1394188636.0,9.0,20.0,1.0
2014-03-07 10:37:19,1394188639.0,9.0,20.0,1.0
2014-03-07 10:37:27,1394188647.0,9.0,20.0,1.0
2014-03-07 10:37:31,1394188651.0,9.0,20.0,1.0
2014-03-07 10:37:35,1394188655.0,9.0,20.0,1.0
2014-03-07 10:37:45,1394188665.0,9.0,20.0,1.0
2014-03-07 10:37:49,1394188669.0,9.0,20.0,1.0
2014-03-07 10:38:00,1394188680.0,9.0,19.0,1.0
2014-03-07 10:38:04,1394188684.0,9.0,19.0,1.0
2014-03-07 10:38:14,1394188694.0,9.0,20.0,1.0
2014-03-07 10:38:18,1394188698.0,9.0,20.0,1.0
2014-03-07 10:38:19,1394188699.0,9.0,20.0,1.0
2014-03-07 10:38:28,1394188708.0,9.0,20.0,1.0
2014-03-07 10:38:32,1394188712.0,9.0,20.0,1.0
2014-03-07 10:38:33,1394188713.0,9.0,20.0,1.0
2014-03-07 10:38:47,1394188727.0,9.0,20.0,1.0
2014-03-07 10:38:48,1394188728.0,9.0,20.0,1.0
2014-03-07 10:39:02,1394188742.0,9.0,20.0,1.0
