Time,Unix,Fridge,Television,Microwave
2014-03-06 16:23:19,1394122999.0,0.0,62.0,2.0
2014-03-06 16:23:33,1394123013.0,0.0,63.0,2.0
2014-03-06 16:23:41,1394123021.0,0.0,63.0,2.0
2014-03-06 16:23:47,1394123027.0,0.0,63.0,2.0
2014-03-06 16:23:55,1394123035.0,0.0,62.0,2.0
2014-03-06 16:24:02,1394123042.0,0.0,62.0,2.0
2014-03-06 16:24:09,1394123049.0,0.0,63.0,2.0
2014-03-06 16:24:16,1394123056.0,0.0,63.0,2.0
2014-03-06 16:24:19,1394123059.0,0.0,63.0,2.0
2014-03-06 16:24:24,1394123064.0,0.0,63.0,2.0
2014-03-06 16:24:30,1394123070.0,0.0,63.0,2.0
2014-03-06 16:24:33,1394123073.0,0.0,63.0,2.0
2014-03-06 16:24:38,1394123078.0,0.0,62.0,2.0
2014-03-06 16:24:40,1394123080.0,0.0,62.0,2.0
2014-03-06 16:24:44,1394123084.0,0.0,63.0,2.0
2014-03-06 16:24:47,1394123087.0,0.0,63.0,2.0
2014-03-06 16:24:52,1394123092.0,0.0,63.0,2.0
2014-03-06 16:24:54,1394123094.0,0.0,64.0,2.0
2014-03-06 16:24:59,1394123099.0,0.0,64.0,2.0
2014-03-06 16:25:02,1394123102.0,0.0,61.0,2.0
2014-03-06 16:25:06,1394123106.0,0.0,61.0,2.0
2014-03-06 16:25:08,1394123108.0,0.0,61.0,2.0
2014-03-06 16:25:13,1394123113.0,0.0,63.0,2.0
2014-03-06 16:25:16,1394123116.0,0.0,63.0,2.0
2014-03-06 16:25:19,1394123119.0,0.0,64.0,2.0
2014-03-06 16:25:21,1394123121.0,0.0,64.0,2.0
2014-03-06 16:25:23,1394123123.0,0.0,64.0,2.0
2014-03-06 16:25:28,1394123128.0,0.0,61.0,2.0
2014-03-06 16:25:30,1394123130.0,0.0,61.0,2.0
2014-03-06 16:25:34,1394123134.0,0.0,62.0,2.0
2014-03-06 16:25:35,1394123135.0,0.0,62.0,2.0
2014-03-06 16:25:37,1394123137.0,0.0,62.0,2.0
2014-03-06 16:25:45,1394123145.0,0.0,62.0,2.0
2014-03-06 16:25:48,1394123148.0,0.0,62.0,2.0
2014-03-06 16:25:51,1394123151.0,0.0,64.0,2.0
2014-03-06 16:25:59,1394123159.0,0.0,62.0,2.0
2014-03-06 16:26:03,1394123163.0,0.0,62.0,2.0
2014-03-06 16:26:06,1394123166.0,0.0,62.0,2.0
2014-03-06 16:26:13,1394123173.0,0.0,62.0,2.0
2014-03-06 16:26:17,1394123177.0,0.0,62.0,2.0
2014-03-06 16:26:18,1394123178.0,0.0,62.0,2.0
2014-03-06 16:26:20,1394123180.0,0.0,62.0,2.0
2014-03-06 16:26:28,1394123188.0,0.0,61.0,2.0
2014-03-06 16:26:32,1394123192.0,0.0,61.0,2.0
2014-03-06 16:26:33,1394123193.0,0.0,61.0,2.0
